Subject,Segmentation,DiceOverlap,HausdorffDistance,HausdorffAverageDistance,LogAbsoluteVolumetricDifference,Recall,Precision,F1
UNC_train_Case05_,sysu,0.114868804664723,58.7239303861722,14.6252811566145,1.12601126285622,0.6,0.0810810810810811,0.142857142857143
UNC_train_Case06_,ewDavid,0.422479108635098,52.6260391821387,3.50905487595657,0.0211707071229666,0.84,0.235955056179775,0.368421052631579
UNC_train_Case06_,ewDavid5,0.317385472135279,40.6201920231798,2.91930250858491,1.03233534011096,0.64,0.529411764705882,0.579476861167002
UNC_train_Case06_,ewDavidT1,0.055427411942214,49.0178538901898,16.0664229331067,0.528763948059093,0.36,0.140625,0.202247191011236
UNC_train_Case06_,ewDavid5T1,0.00123020967051776,43.4309797264579,11.8180603019436,3.48510642941855,0.16,0.0316455696202532,0.0528401585204756
UNC_train_Case06_,sysu,0.43427498682028,37.7921949613938,3.33255186662093,0.134209911000687,0.84,0.243589743589744,0.377662091812589
UNC_train_Case07_,ewDavid,0.110962810168052,57.1511154746782,16.8109139063607,2.23576591618588,0.857142857142857,0.0625,0.116504854368932
UNC_train_Case07_,ewDavid5,0.296208530805687,35.7246413557925,4.07711990980193,1.64589861881713,0.714285714285714,0.625,0.666666666666667
UNC_train_Case07_,ewDavidT1,0.0753083078826304,58.1914942238125,18.5908826389324,1.11907773366137,0.285714285714286,0.0285714285714286,0.0519480519480519
UNC_train_Case07_,ewDavid5T1,0.00311001684592458,54.7197404964607,14.549210233458,1.55192187131646,0.285714285714286,0.029126213592233,0.052863436123348
UNC_train_Case07_,sysu,0.320034478512498,37.3731186817477,8.95728495774363,0.438619591294589,0.857142857142857,0.25,0.387096774193548
UNC_train_Case08_,ewDavid,0.18915736951281,67.031708914513,11.7892277252905,1.39169921055281,0.909090909090909,0.107692307692308,0.192572214580468
UNC_train_Case08_,ewDavid5,0.174608150470219,34.5579223912549,9.1033435912195,0.227941077095597,0.545454545454545,0.333333333333333,0.413793103448276
UNC_train_Case08_,ewDavidT1,0,67.6830850360709,36.1607033488319,2.34267709140223,0,0,0
UNC_train_Case08_,ewDavid5T1,0,58.8153891426385,24.4310036933758,0.95270008528989,0,0,0
UNC_train_Case08_,sysu,0.121035406129128,43.1190213247008,11.1433434196891,1.31671311676862,0.727272727272727,0.150943396226415,0.25
UNC_train_Case09_,ewDavid,0.041043071469035,76.1462408789823,24.9103044198613,3.39959353208018,0.75,0.0392156862745098,0.0745341614906832
UNC_train_Case09_,ewDavid5,0.00661886376172091,46.2520269826091,28.7466103700454,3.67094175342727,0.25,0.142857142857143,0.181818181818182
UNC_train_Case09_,ewDavidT1,0.0122133260958068,75.3674332852061,26.6103058131729,2.98769668081745,0.25,0.0153846153846154,0.0289855072463768
UNC_train_Case09_,ewDavid5T1,0,65.8331223625312,24.142017642758,0.151796740601816,0,0,0
UNC_train_Case09_,sysu,0.0345782999002549,51.6381641811558,23.0648390765033,1.4118419221207,0.5,0.0869565217391304,0.148148148148148
UNC_train_Case10_,ewDavid,0.0670084887162187,56.9978069753565,22.8185647673316,2.09447734653429,0.555555555555556,0.051948051948052,0.0950118764845606
UNC_train_Case10_,ewDavid5,0.224635725849973,44.1021541423999,10.8432958265181,0.43580292954731,0.555555555555556,0.416666666666667,0.476190476190476
UNC_train_Case10_,ewDavidT1,0.035834583486654,54.3369119475886,18.6028567516587,1.07314825367277,0.333333333333333,0.0344827586206897,0.0625
UNC_train_Case10_,ewDavid5T1,0,54.571054598569,19.7319621263095,2.01429223177289,0,0,0
UNC_train_Case10_,sysu,0.161660408844389,43.7407133000823,12.7891460563775,0.78631412690203,0.444444444444444,0.142857142857143,0.216216216216216
